slice_file_name,ID,fold,Label
100032-3-0-0.wav,100032-3-0-0,5,False
100263-2-0-117.wav,100263-2-0-117,5,False
100263-2-0-121.wav,100263-2-0-121,5,False
100263-2-0-126.wav,100263-2-0-126,5,False
100263-2-0-137.wav,100263-2-0-137,5,False
100263-2-0-143.wav,100263-2-0-143,5,False
100263-2-0-161.wav,100263-2-0-161,5,False
100263-2-0-3.wav,100263-2-0-3,5,False
100263-2-0-36.wav,100263-2-0-36,5,False
100652-3-0-0.wav,100652-3-0-0,2,False
100652-3-0-1.wav,100652-3-0-1,2,False
100652-3-0-2.wav,100652-3-0-2,2,False
100652-3-0-3.wav,100652-3-0-3,2,False
100852-0-0-0.wav,100852-0-0-0,5,False
100852-0-0-1.wav,100852-0-0-1,5,False
100852-0-0-10.wav,100852-0-0-10,5,False
100852-0-0-11.wav,100852-0-0-11,5,False
100852-0-0-12.wav,100852-0-0-12,5,False
100852-0-0-13.wav,100852-0-0-13,5,False
100852-0-0-14.wav,100852-0-0-14,5,False
100852-0-0-15.wav,100852-0-0-15,5,False
100852-0-0-16.wav,100852-0-0-16,5,False
100852-0-0-17.wav,100852-0-0-17,5,False
100852-0-0-18.wav,100852-0-0-18,5,False
100852-0-0-19.wav,100852-0-0-19,5,False
100852-0-0-2.wav,100852-0-0-2,5,False
100852-0-0-20.wav,100852-0-0-20,5,False
100852-0-0-21.wav,100852-0-0-21,5,False
100852-0-0-22.wav,100852-0-0-22,5,False
100852-0-0-23.wav,100852-0-0-23,5,False
100852-0-0-24.wav,100852-0-0-24,5,False
100852-0-0-25.wav,100852-0-0-25,5,False
100852-0-0-26.wav,100852-0-0-26,5,False
100852-0-0-27.wav,100852-0-0-27,5,False
100852-0-0-28.wav,100852-0-0-28,5,False
100852-0-0-29.wav,100852-0-0-29,5,False
100852-0-0-3.wav,100852-0-0-3,5,False
100852-0-0-30.wav,100852-0-0-30,5,False
100852-0-0-4.wav,100852-0-0-4,5,False
100852-0-0-5.wav,100852-0-0-5,5,False
100852-0-0-6.wav,100852-0-0-6,5,False
100852-0-0-7.wav,100852-0-0-7,5,False
100852-0-0-8.wav,100852-0-0-8,5,False
100852-0-0-9.wav,100852-0-0-9,5,False
101281-3-0-0.wav,101281-3-0-0,6,False
101281-3-0-14.wav,101281-3-0-14,6,False
101281-3-0-5.wav,101281-3-0-5,6,False
101415-3-0-2.wav,101415-3-0-2,1,False
101415-3-0-3.wav,101415-3-0-3,1,False
101415-3-0-8.wav,101415-3-0-8,1,False
101848-9-0-0.wav,101848-9-0-0,7,False
101848-9-0-1.wav,101848-9-0-1,7,False
101848-9-0-2.wav,101848-9-0-2,7,False
101848-9-0-3.wav,101848-9-0-3,7,False
101848-9-0-8.wav,101848-9-0-8,7,False
101848-9-0-9.wav,101848-9-0-9,7,False
102102-3-0-0.wav,102102-3-0-0,4,False
102104-3-0-0.wav,102104-3-0-0,2,False
102105-3-0-0.wav,102105-3-0-0,3,False
102106-3-0-0.wav,102106-3-0-0,1,False
102305-6-0-0.wav,102305-6-0-0,1,True
102547-3-0-2.wav,102547-3-0-2,5,False
102547-3-0-7.wav,102547-3-0-7,5,False
102547-3-0-8.wav,102547-3-0-8,5,False
102842-3-0-1.wav,102842-3-0-1,1,False
102842-3-1-0.wav,102842-3-1-0,1,False
102842-3-1-5.wav,102842-3-1-5,1,False
102842-3-1-6.wav,102842-3-1-6,1,False
102853-8-0-0.wav,102853-8-0-0,7,False
102853-8-0-1.wav,102853-8-0-1,7,False
102853-8-0-2.wav,102853-8-0-2,7,False
102853-8-0-3.wav,102853-8-0-3,7,False
102853-8-0-4.wav,102853-8-0-4,7,False
102853-8-0-5.wav,102853-8-0-5,7,False
102853-8-0-6.wav,102853-8-0-6,7,False
102853-8-1-0.wav,102853-8-1-0,7,False
102858-5-0-0.wav,102858-5-0-0,2,False
102858-5-0-1.wav,102858-5-0-1,2,False
102871-8-0-0.wav,102871-8-0-0,2,False
102871-8-0-1.wav,102871-8-0-1,2,False
102871-8-0-10.wav,102871-8-0-10,2,False
102871-8-0-11.wav,102871-8-0-11,2,False
102871-8-0-12.wav,102871-8-0-12,2,False
102871-8-0-13.wav,102871-8-0-13,2,False
102871-8-0-14.wav,102871-8-0-14,2,False
102871-8-0-15.wav,102871-8-0-15,2,False
102871-8-0-2.wav,102871-8-0-2,2,False
102871-8-0-3.wav,102871-8-0-3,2,False
102871-8-0-4.wav,102871-8-0-4,2,False
102871-8-0-5.wav,102871-8-0-5,2,False
102871-8-0-6.wav,102871-8-0-6,2,False
102871-8-0-7.wav,102871-8-0-7,2,False
102871-8-0-8.wav,102871-8-0-8,2,False
102871-8-0-9.wav,102871-8-0-9,2,False
103074-7-0-0.wav,103074-7-0-0,1,False
103074-7-0-1.wav,103074-7-0-1,1,False
103074-7-0-2.wav,103074-7-0-2,1,False
103074-7-1-0.wav,103074-7-1-0,1,False
103074-7-1-1.wav,103074-7-1-1,1,False
103074-7-1-2.wav,103074-7-1-2,1,False
103074-7-1-3.wav,103074-7-1-3,1,False
103074-7-1-4.wav,103074-7-1-4,1,False
103074-7-1-5.wav,103074-7-1-5,1,False
103074-7-1-6.wav,103074-7-1-6,1,False
103074-7-2-0.wav,103074-7-2-0,1,False
103074-7-3-0.wav,103074-7-3-0,1,False
103074-7-3-1.wav,103074-7-3-1,1,False
103074-7-3-2.wav,103074-7-3-2,1,False
103074-7-3-3.wav,103074-7-3-3,1,False
103074-7-4-0.wav,103074-7-4-0,1,False
103074-7-4-1.wav,103074-7-4-1,1,False
103074-7-4-2.wav,103074-7-4-2,1,False
103074-7-4-3.wav,103074-7-4-3,1,False
103074-7-4-4.wav,103074-7-4-4,1,False
103074-7-4-5.wav,103074-7-4-5,1,False
103074-7-4-6.wav,103074-7-4-6,1,False
103076-3-0-0.wav,103076-3-0-0,8,False
103076-3-1-0.wav,103076-3-1-0,8,False
103076-3-2-0.wav,103076-3-2-0,8,False
103199-4-0-0.wav,103199-4-0-0,3,False
103199-4-0-3.wav,103199-4-0-3,3,False
103199-4-0-4.wav,103199-4-0-4,3,False
103199-4-0-5.wav,103199-4-0-5,3,False
103199-4-0-6.wav,103199-4-0-6,3,False
103199-4-1-0.wav,103199-4-1-0,3,False
103199-4-2-0.wav,103199-4-2-0,3,False
103199-4-2-1.wav,103199-4-2-1,3,False
103199-4-2-10.wav,103199-4-2-10,3,False
103199-4-2-11.wav,103199-4-2-11,3,False
103199-4-2-2.wav,103199-4-2-2,3,False
103199-4-2-3.wav,103199-4-2-3,3,False
103199-4-2-4.wav,103199-4-2-4,3,False
103199-4-2-5.wav,103199-4-2-5,3,False
103199-4-2-6.wav,103199-4-2-6,3,False
103199-4-2-7.wav,103199-4-2-7,3,False
103199-4-2-8.wav,103199-4-2-8,3,False
103199-4-2-9.wav,103199-4-2-9,3,False
103199-4-4-0.wav,103199-4-4-0,3,False
103199-4-6-0.wav,103199-4-6-0,3,False
103199-4-7-2.wav,103199-4-7-2,3,False
103258-5-0-0.wav,103258-5-0-0,1,False
103258-5-0-1.wav,103258-5-0-1,1,False
103258-5-0-10.wav,103258-5-0-10,1,False
103258-5-0-11.wav,103258-5-0-11,1,False
103258-5-0-12.wav,103258-5-0-12,1,False
103258-5-0-13.wav,103258-5-0-13,1,False
103258-5-0-14.wav,103258-5-0-14,1,False
103258-5-0-15.wav,103258-5-0-15,1,False
103258-5-0-16.wav,103258-5-0-16,1,False
103258-5-0-17.wav,103258-5-0-17,1,False
103258-5-0-18.wav,103258-5-0-18,1,False
103258-5-0-19.wav,103258-5-0-19,1,False
103258-5-0-2.wav,103258-5-0-2,1,False
103258-5-0-3.wav,103258-5-0-3,1,False
103258-5-0-4.wav,103258-5-0-4,1,False
103258-5-0-5.wav,103258-5-0-5,1,False
103258-5-0-6.wav,103258-5-0-6,1,False
103258-5-0-7.wav,103258-5-0-7,1,False
103258-5-0-8.wav,103258-5-0-8,1,False
103258-5-0-9.wav,103258-5-0-9,1,False
103357-4-0-0.wav,103357-4-0-0,3,False
103357-4-0-1.wav,103357-4-0-1,3,False
104327-2-0-15.wav,104327-2-0-15,6,False
104327-2-0-19.wav,104327-2-0-19,6,False
104327-2-0-26.wav,104327-2-0-26,6,False
104327-2-0-28.wav,104327-2-0-28,6,False
104327-2-0-3.wav,104327-2-0-3,6,False
104327-2-0-30.wav,104327-2-0-30,6,False
104327-2-0-34.wav,104327-2-0-34,6,False
104327-2-0-4.wav,104327-2-0-4,6,False
104421-2-0-1.wav,104421-2-0-1,5,False
104421-2-0-15.wav,104421-2-0-15,5,False
104421-2-0-20.wav,104421-2-0-20,5,False
104421-2-0-29.wav,104421-2-0-29,5,False
104421-2-0-3.wav,104421-2-0-3,5,False
104421-2-0-5.wav,104421-2-0-5,5,False
104421-2-0-7.wav,104421-2-0-7,5,False
104421-2-1-3.wav,104421-2-1-3,5,False
104625-4-0-15.wav,104625-4-0-15,7,False
104625-4-0-21.wav,104625-4-0-21,7,False
104625-4-0-27.wav,104625-4-0-27,7,False
104625-4-0-29.wav,104625-4-0-29,7,False
104625-4-0-3.wav,104625-4-0-3,7,False
104625-4-0-35.wav,104625-4-0-35,7,False
104625-4-0-40.wav,104625-4-0-40,7,False
104625-4-0-41.wav,104625-4-0-41,7,False
104625-4-0-45.wav,104625-4-0-45,7,False
104625-4-0-48.wav,104625-4-0-48,7,False
104625-4-0-51.wav,104625-4-0-51,7,False
104625-4-0-52.wav,104625-4-0-52,7,False
104625-4-0-53.wav,104625-4-0-53,7,False
104625-4-0-55.wav,104625-4-0-55,7,False
104625-4-0-57.wav,104625-4-0-57,7,False
104625-4-0-66.wav,104625-4-0-66,7,False
104625-4-1-20.wav,104625-4-1-20,7,False
104625-4-1-8.wav,104625-4-1-8,7,False
104817-4-0-0.wav,104817-4-0-0,2,False
104817-4-0-1.wav,104817-4-0-1,2,False
104817-4-0-10.wav,104817-4-0-10,2,False
104817-4-0-11.wav,104817-4-0-11,2,False
104817-4-0-2.wav,104817-4-0-2,2,False
104817-4-0-3.wav,104817-4-0-3,2,False
104817-4-0-4.wav,104817-4-0-4,2,False
104817-4-0-5.wav,104817-4-0-5,2,False
104817-4-0-6.wav,104817-4-0-6,2,False
104817-4-0-7.wav,104817-4-0-7,2,False
104817-4-0-8.wav,104817-4-0-8,2,False
104817-4-0-9.wav,104817-4-0-9,2,False
104998-7-0-5.wav,104998-7-0-5,5,False
104998-7-10-1.wav,104998-7-10-1,5,False
104998-7-10-10.wav,104998-7-10-10,5,False
104998-7-10-13.wav,104998-7-10-13,5,False
104998-7-10-15.wav,104998-7-10-15,5,False
104998-7-10-8.wav,104998-7-10-8,5,False
104998-7-10-9.wav,104998-7-10-9,5,False
104998-7-11-0.wav,104998-7-11-0,5,False
104998-7-11-2.wav,104998-7-11-2,5,False
104998-7-12-2.wav,104998-7-12-2,5,False
104998-7-14-1.wav,104998-7-14-1,5,False
104998-7-14-5.wav,104998-7-14-5,5,False
104998-7-14-6.wav,104998-7-14-6,5,False
104998-7-15-1.wav,104998-7-15-1,5,False
104998-7-15-3.wav,104998-7-15-3,5,False
104998-7-15-5.wav,104998-7-15-5,5,False
104998-7-15-9.wav,104998-7-15-9,5,False
104998-7-16-0.wav,104998-7-16-0,5,False
104998-7-16-10.wav,104998-7-16-10,5,False
104998-7-16-11.wav,104998-7-16-11,5,False
104998-7-16-5.wav,104998-7-16-5,5,False
104998-7-16-6.wav,104998-7-16-6,5,False
104998-7-16-7.wav,104998-7-16-7,5,False
104998-7-17-0.wav,104998-7-17-0,5,False
104998-7-17-1.wav,104998-7-17-1,5,False
104998-7-17-12.wav,104998-7-17-12,5,False
104998-7-17-14.wav,104998-7-17-14,5,False
104998-7-17-4.wav,104998-7-17-4,5,False
104998-7-17-7.wav,104998-7-17-7,5,False
104998-7-17-8.wav,104998-7-17-8,5,False
104998-7-18-12.wav,104998-7-18-12,5,False
104998-7-18-13.wav,104998-7-18-13,5,False
104998-7-18-3.wav,104998-7-18-3,5,False
104998-7-18-9.wav,104998-7-18-9,5,False
104998-7-19-0.wav,104998-7-19-0,5,False
104998-7-19-3.wav,104998-7-19-3,5,False
104998-7-19-6.wav,104998-7-19-6,5,False
104998-7-19-7.wav,104998-7-19-7,5,False
104998-7-19-8.wav,104998-7-19-8,5,False
104998-7-19-9.wav,104998-7-19-9,5,False
104998-7-2-4.wav,104998-7-2-4,5,False
104998-7-2-5.wav,104998-7-2-5,5,False
104998-7-2-6.wav,104998-7-2-6,5,False
104998-7-3-1.wav,104998-7-3-1,5,False
104998-7-7-0.wav,104998-7-7-0,5,False
104998-7-7-1.wav,104998-7-7-1,5,False
104998-7-7-4.wav,104998-7-7-4,5,False
104998-7-7-7.wav,104998-7-7-7,5,False
104998-7-7-9.wav,104998-7-7-9,5,False
104998-7-8-13.wav,104998-7-8-13,5,False
104998-7-8-14.wav,104998-7-8-14,5,False
104998-7-8-15.wav,104998-7-8-15,5,False
104998-7-8-17.wav,104998-7-8-17,5,False
104998-7-8-4.wav,104998-7-8-4,5,False
104998-7-8-6.wav,104998-7-8-6,5,False
104998-7-8-7.wav,104998-7-8-7,5,False
104998-7-9-0.wav,104998-7-9-0,5,False
104998-7-9-13.wav,104998-7-9-13,5,False
104998-7-9-9.wav,104998-7-9-9,5,False
105289-8-0-0.wav,105289-8-0-0,7,False
105289-8-0-1.wav,105289-8-0-1,7,False
105289-8-0-2.wav,105289-8-0-2,7,False
105289-8-0-3.wav,105289-8-0-3,7,False
105289-8-0-4.wav,105289-8-0-4,7,False
105289-8-0-5.wav,105289-8-0-5,7,False
105289-8-1-0.wav,105289-8-1-0,7,False
105289-8-1-1.wav,105289-8-1-1,7,False
105289-8-1-2.wav,105289-8-1-2,7,False
105289-8-1-3.wav,105289-8-1-3,7,False
105289-8-1-4.wav,105289-8-1-4,7,False
105289-8-2-0.wav,105289-8-2-0,7,False
105289-8-2-1.wav,105289-8-2-1,7,False
105289-8-2-2.wav,105289-8-2-2,7,False
105289-8-2-3.wav,105289-8-2-3,7,False
105289-8-2-4.wav,105289-8-2-4,7,False
105289-8-2-5.wav,105289-8-2-5,7,False
105289-8-2-6.wav,105289-8-2-6,7,False
105289-8-2-7.wav,105289-8-2-7,7,False
105319-3-0-22.wav,105319-3-0-22,6,False
105319-3-0-29.wav,105319-3-0-29,6,False
105319-3-0-39.wav,105319-3-0-39,6,False
105415-2-0-1.wav,105415-2-0-1,1,False
105415-2-0-15.wav,105415-2-0-15,1,False
105415-2-0-19.wav,105415-2-0-19,1,False
105415-2-0-21.wav,105415-2-0-21,1,False
105415-2-0-24.wav,105415-2-0-24,1,False
105415-2-0-4.wav,105415-2-0-4,1,False
105415-2-0-6.wav,105415-2-0-6,1,False
105415-2-0-8.wav,105415-2-0-8,1,False
105425-9-0-1.wav,105425-9-0-1,5,False
105425-9-0-10.wav,105425-9-0-10,5,False
105425-9-0-12.wav,105425-9-0-12,5,False
105425-9-0-13.wav,105425-9-0-13,5,False
105425-9-0-14.wav,105425-9-0-14,5,False
105425-9-0-23.wav,105425-9-0-23,5,False
106015-5-0-0.wav,106015-5-0-0,2,False
106015-5-0-1.wav,106015-5-0-1,2,False
106015-5-0-10.wav,106015-5-0-10,2,False
106015-5-0-11.wav,106015-5-0-11,2,False
106015-5-0-12.wav,106015-5-0-12,2,False
106015-5-0-13.wav,106015-5-0-13,2,False
106015-5-0-14.wav,106015-5-0-14,2,False
106015-5-0-15.wav,106015-5-0-15,2,False
106015-5-0-16.wav,106015-5-0-16,2,False
106015-5-0-17.wav,106015-5-0-17,2,False
106015-5-0-18.wav,106015-5-0-18,2,False
106015-5-0-19.wav,106015-5-0-19,2,False
106015-5-0-2.wav,106015-5-0-2,2,False
106015-5-0-20.wav,106015-5-0-20,2,False
106015-5-0-3.wav,106015-5-0-3,2,False
106015-5-0-4.wav,106015-5-0-4,2,False
106015-5-0-5.wav,106015-5-0-5,2,False
106015-5-0-6.wav,106015-5-0-6,2,False
106015-5-0-7.wav,106015-5-0-7,2,False
106015-5-0-8.wav,106015-5-0-8,2,False
106015-5-0-9.wav,106015-5-0-9,2,False
106486-5-0-0.wav,106486-5-0-0,6,False
106486-5-0-1.wav,106486-5-0-1,6,False
106486-5-0-2.wav,106486-5-0-2,6,False
106487-5-0-0.wav,106487-5-0-0,5,False
106487-5-0-1.wav,106487-5-0-1,5,False
106487-5-0-2.wav,106487-5-0-2,5,False
106905-5-0-0.wav,106905-5-0-0,8,False
106905-5-0-1.wav,106905-5-0-1,8,False
